api_id,api_key,version_key,openapi_ver,updated,swagger_url
googleapis-com-books,googleapis.com:books,v1,3.0.0,2023-04-21T23:09:23.065Z,https://api.apis.guru/v2/specs/googleapis.com/books/v1/openapi.json
googleapis-com-kgsearch,googleapis.com:kgsearch,v1,3.0.0,2023-04-21T23:09:23.065Z,https://api.apis.guru/v2/specs/googleapis.com/kgsearch/v1/openapi.json
okta-local,okta.local,1.0.0,3.0.3,2021-07-05T15:07:17.927Z,https://api.apis.guru/v2/specs/okta.local/1.0.0/openapi.json
xero-com-xero-accounting,xero.com:xero_accounting,2.9.4,3.0.0,2021-02-25T08:01:03.964Z,https://api.apis.guru/v2/specs/xero.com/xero_accounting/2.9.4/openapi.json
xero-com-xero-payroll-au,xero.com:xero-payroll-au,2.9.4,3.0.0,2021-02-25T08:01:03.964Z,https://api.apis.guru/v2/specs/xero.com/xero-payroll-au/2.9.4/openapi.json
klarna-com-payments,klarna.com:payments,1.0.0,3.0.0,2023-03-25T18:07:14.940Z,https://api.apis.guru/v2/specs/klarna.com/payments/1.0.0/openapi.json
svix-com,svix.com,1.4,3.0.2,2023-03-06T07:12:59.965Z,https://api.apis.guru/v2/specs/svix.com/1.4/openapi.json
telnyx-com,telnyx.com,2.0.0,3.0.0,2021-08-23T09:34:59.789Z,https://api.apis.guru/v2/specs/telnyx.com/2.0.0/openapi.json
openai-com,openai.com,1.2.0,3.0.0,2023-03-03T09:27:09.469Z,https://api.apis.guru/v2/specs/openai.com/1.2.0/openapi.json
impala-travel-hotels,impala.travel:hotels,1.003,3.0.0,2023-03-22T15:28:07.836Z,https://api.apis.guru/v2/specs/impala.travel/hotels/1.003/openapi.json
here-com-positioning,here.com:positioning,2.1.1,3.0.0,2021-06-21T12:16:53.715Z,https://api.apis.guru/v2/specs/here.com/positioning/2.1.1/openapi.json
visualcrossing-com-weather,visualcrossing.com:weather,4.6,3.0.1,2023-03-06T07:12:59.965Z,https://api.apis.guru/v2/specs/visualcrossing.com/weather/4.6/openapi.json
interzoid-com-getweathercity,interzoid.com:getweathercity,1.0.0,3.0.0,2021-06-21T10:03:47.665Z,https://api.apis.guru/v2/specs/interzoid.com/getweathercity/1.0.0/openapi.json
salesforce-local-einstein,salesforce.local:einstein,2.0.1,3.0.1,2021-06-21T12:16:53.715Z,https://api.apis.guru/v2/specs/salesforce.local/einstein/2.0.1/openapi.json
datumbox-com,datumbox.com,1.0,3.0.0,2020-01-07T11:40:28.000Z,https://api.apis.guru/v2/specs/datumbox.com/1.0/openapi.json
instagram-com,instagram.com,1.0.0,2.0,2021-06-30T09:57:47.461Z,https://api.apis.guru/v2/specs/instagram.com/1.0.0/swagger.json
gitlab-com,gitlab.com,v3,2.0,2021-06-21T12:16:53.715Z,https://api.apis.guru/v2/specs/gitlab.com/v3/swagger.json
here-com-tracking,here.com:tracking,2.1.191,3.0.0,2023-03-06T07:12:59.965Z,https://api.apis.guru/v2/specs/here.com/tracking/2.1.191/openapi.json
weatherbit-io,weatherbit.io,2.0.0,2.0,2023-03-06T07:12:59.965Z,https://api.apis.guru/v2/specs/weatherbit.io/2.0.0/swagger.json
